FdxReference,FddCreated,FddModified,FdsGroup,FdnValue,FdsLookupShort,FdsLookup,FdsCode,FdbEditable,FdbDeletable,FdbDefault
87,"04/29/02 11:03:24","04/29/02 11:03:24","VISIT",0,"OT","On Time","OT",0,0,0
88,"04/29/02 11:03:24","04/29/02 11:03:24","VISIT",1,"DL","Delayed","DL",0,0,0
89,"04/29/02 11:03:24","04/29/02 11:03:24","VISIT",2,"UP","Unplanned","UP",0,0,0
90,"04/29/02 11:03:24","04/29/02 11:03:24","VISIT",99,"NS","Not specified","NS",0,0,1
91,"04/29/02 11:03:24","04/29/02 11:03:24","HIV",0,"HIV -","HIV Negative","HIV -",0,0,0
92,"04/29/02 11:03:24","04/29/02 11:03:24","HIV",1,"HIV +","HIV Positive","HIV +",0,0,0
93,"04/29/02 11:03:24","04/29/02 11:03:24","HIV",99,"NS","Not specified","NS",0,0,1
94,"04/29/02 11:03:24","04/29/02 11:03:24","YESNO",0,"N","No","N",0,0,0
95,"04/29/02 11:03:24","04/29/02 11:03:24","YESNO",1,"Y","Yes","Y",0,0,0
96,"04/29/02 11:03:24","04/29/02 11:03:24","YESNO",99,"NS","Not specified","NS",0,0,1
97,"04/29/02 11:03:24","04/29/02 11:03:24","WHO",0,"WHO 0","Not specified","WHO 0",0,0,0
98,"04/29/02 11:03:24","04/29/02 11:03:24","WHO",1,"WHO 1","WHO Stage 1","WHO 1",0,0,0
99,"04/29/02 11:03:24","04/29/02 11:03:24","WHO",2,"WHO 2","WHO Stage 2","WHO 2",0,0,0
100,"04/29/02 11:03:24","04/29/02 11:03:24","WHO",3,"WHO 3","WHO Stage 3","WHO 3",0,0,0
101,"04/29/02 11:03:24","04/29/02 11:03:24","WHO",4,"WHO 4","WHO Stage 4","WHO 4",0,0,0
132,"04/29/02 11:03:24","04/29/02 11:03:24","TFUP",0,"C","Consultation","C",0,0,1
133,"04/29/02 11:03:24","04/29/02 11:03:24","TFUP",1,"H","Hospitalisation","H",0,0,0
134,"04/29/02 11:03:24","04/29/02 11:03:24","INTC",1,"< 50","< 50","< 50",0,0,0
135,"04/29/02 11:03:24","04/29/02 11:03:24","INTC",2,"[50-200[","[50-200[","[50-200[",0,0,0
136,"04/29/02 11:03:24","04/29/02 11:03:24","INTC",3,"[200-500[","[200-500[","[200-500[",0,0,0
137,"04/29/02 11:03:24","04/29/02 11:03:24","INTC",4,">= 500",">= 500",">= 500",0,0,0
138,"04/29/02 11:03:24","04/29/02 11:03:24","APPT",0,"BP","0 - Before the period (Lost for follow-up)",,0,0,0
139,"04/29/02 11:03:24","04/29/02 11:03:24","APPT",1,"DP","1 - During the period (Waited)",,0,0,0
140,"04/29/02 11:03:24","04/29/02 11:03:24","APPT",2,"AP","2 - After the period (Active file)",,0,0,0
141,"04/29/02 11:03:24","04/29/02 11:03:24","APPT",99,"NS","3 - Not specified",,0,0,1
142,"11/21/01 10:28:12","05/13/03 08:56:19","KSTT",1,"SIN","SINGLE NEVER MARRIED",,1,1,0
143,"11/21/01 10:43:33","11/21/01 14:44:58","KSTT",3,"DIV","DIVORCED or SEPARATED",,1,1,0
144,"11/21/01 10:44:07","05/13/03 08:57:10","KSTT",4,"WID","WIDOW",,1,1,0
145,"11/21/01 10:44:43","11/21/01 10:45:05","KMDE",1,"IPD","IN PATIENT DEPARTMENT",,1,1,0
146,"11/21/01 10:45:05","05/16/03 08:04:25","KMDE",2,"OPD","REFERRED",,1,1,0
147,"11/21/01 10:45:21","11/21/01 10:45:39","KMDE",3,"VCCT","SEFT PRESENTED",,1,1,0
148,"11/21/01 10:45:42","11/21/01 10:46:10","KMDE",4,"CHARC","CHARC CENTER",,1,1,0
149,"11/21/01 10:46:10","11/21/01 10:46:33","KMDE",5,"ANC","ANTENATAL CLINIC",,1,1,0
150,"11/21/01 10:46:33","11/21/01 10:46:48","KMDE",6,"HC","HEALTH CENTER",,1,1,0
151,"11/21/01 10:46:48","05/13/03 14:02:05","KMDE",7,"OTHER","MACRO, BLANTYRE OR ANY OTHER PLACE",,1,1,0
152,"11/21/01 11:49:08","11/21/01 11:49:24","KORG",1,"BIL","BILAL",,1,1,0
153,"11/21/01 11:49:24","11/21/01 11:49:45","KORG",2,"PIM","PIM",,1,1,0
154,"11/21/01 11:49:45","11/21/01 11:49:56","KORG",3,"MAU","MAUWA",,1,1,0
155,"11/21/01 11:49:56","11/21/01 11:50:11","KORG",4,"MBU","MBULUMBUZI",,1,1,0
156,"11/21/01 11:50:11","11/21/01 11:55:17","KORG",5,"NKA","NKALO",,1,1,0
157,"11/21/01 11:50:33","11/21/01 11:50:47","KORG",6,"DHOS","DISTRICT HOSPITAL",,1,1,0
158,"11/21/01 11:50:47","11/21/01 11:51:00","KORG",7,"MIL","MILEPA",,1,1,0
159,"11/21/01 11:51:00","11/21/01 11:51:14","KORG",8,"NDU","NDUNDE",,1,1,0
160,"11/21/01 11:51:14","11/21/01 11:51:37","KORG",9,"NAM","NAMITAMBO",,1,1,0
161,"11/21/01 11:51:37","11/21/01 11:53:01","KORG",10,"CHI","CHITERA",,1,1,0
162,"11/21/01 11:53:01","11/21/01 11:54:38","KORG",11,"NAMD","NAMADZI",,1,1,0
163,"11/21/01 11:55:32","01/29/07 13:04:12","KPRO",1,"MIL","MILLITARY POLICE",,1,1,0
164,"11/21/01 11:57:43","11/21/01 11:57:54","KPRO",2,"MED","MEDICAL",,1,1,0
165,"11/21/01 11:57:54","11/21/01 11:58:23","KPRO",3,"PRO","PROFESSIONAL ( teacher , university  etc)",,1,1,0
166,"11/21/01 11:58:23","11/24/05 15:19:58","KPRO",4,"OTH","OTHER",,1,1,0
167,"11/21/01 12:00:09","09/10/07 11:39:24","KPRG",1,"MSFC","MSF Clinical Officer",,1,1,0
168,"11/21/01 12:00:23","09/10/07 11:42:06","KPRG",2,"MSFN","MSF Nurse",,1,1,0
169,"11/21/01 12:00:34","09/10/07 11:42:19","KPRG",3,"MSFD","MSF Doctor",,1,1,0
170,"11/21/01 12:01:01","11/21/01 12:01:26","KREF",1,"DHOS","DISTRICT HOSPITAL",,1,1,0
171,"11/21/01 12:01:26","07/28/03 16:26:03","KREF",2,"Q.E.C.H.","Queen Elizabeth Central Hospital",,1,1,0
172,"11/21/01 12:04:14","11/21/01 12:04:31","KLOC",1,"BIL","BILAL",,1,1,0
173,"11/21/01 12:04:31","11/21/01 12:04:40","KLOC",2,"PIM","PIM",,1,1,0
174,"11/21/01 12:04:40","11/21/01 12:04:50","KLOC",3,"MAU","MAUWA",,1,1,0
175,"11/21/01 12:04:50","11/21/01 12:05:01","KLOC",4,"MBU","MBULUMBUZI",,1,1,0
176,"11/21/01 12:05:01","11/21/01 12:05:13","KLOC",5,"NKA","NKALO",,1,1,0
177,"11/21/01 12:05:13","11/21/01 12:05:25","KLOC",6,"DHOS","DHOS",,1,1,0
178,"11/21/01 12:05:25","11/21/01 12:05:37","KLOC",7,"MIL","MILEPA",,1,1,0
179,"11/21/01 12:05:37","11/21/01 12:05:49","KLOC",8,"NDU","NDUNDE",,1,1,0
180,"11/21/01 12:05:49","11/21/01 12:08:15","KLOC",9,"NAMAD","NAMADZI",,1,1,0
181,"11/21/01 12:06:01","11/21/01 12:06:12","KLOC",10,"CHI","CHITERA",,1,1,0
182,"11/21/01 12:06:12","11/21/01 12:08:23","KLOC",11,"NAM","NAMITAMBO",,1,1,0
183,"11/21/01 14:45:41","11/21/01 14:46:14","KSTT",2,"MAR","MARRIED",,1,1,0
184,"05/10/02 13:39:29","06/17/05 07:52:36","KDRG",440,"AA1","Other ARV 1","AA1:A1:AA1",1,0,0
185,"05/10/02 13:39:29","06/17/05 07:52:54","KDRG",450,"AA2","Other ARV 2","AA2:A1:AA2",1,0,0
186,"05/10/02 13:39:29","06/17/05 07:53:18","KDRG",460,"AA3","Other ARV 3","AA3:A1:AA3",1,0,0
187,"05/10/02 13:39:29","06/17/05 07:53:44","KDRG",470,"AA4","Other ARV 4","AA4:A1:AA4",1,0,0
188,"05/10/02 13:39:29","06/17/05 07:54:11","KDRG",480,"AA5","Other ARV 5","AA5:A1:AA5",1,0,0
189,"05/10/02 13:39:29","05/10/02 13:39:29","GDRUG",0,"ARV","ARV","ARV",0,0,0
190,"05/10/02 13:39:29","05/10/02 13:39:29","GDRUG",1,"COTRI","Cotrimoxazole prophylaxis","COTRI",0,0,0
191,"05/10/02 13:39:29","05/10/02 13:39:29","GDRUG",2,"FLUCO1","Fluconazole primary prophylaxis","FLUCO1",0,0,0
192,"05/10/02 13:39:29","05/10/02 13:39:29","GDRUG",3,"FLUCO2","Fluconazole secondary prophylaxis","FLUCO2",0,0,0
193,"05/10/02 13:39:29","05/10/02 13:39:29","GDRUG",4,"INH","Isoniazide","INH",0,0,0
194,"09/15/02 09:02:28","09/15/02 09:02:58","KLOC",12,"HV","HOME VISIT",,1,1,0
195,"01/01/03 13:39:36","01/01/03 13:40:07","KORG",12,"NGU","NGULUDI",,1,1,0
207,"01/23/03 14:52:17","01/23/03 14:52:48","KLOC",13,"NGU","NGULUDI",,1,1,0
208,"05/13/03 08:06:18","09/10/07 11:42:54","KPRG",4,"MA","Medical Assistant",,1,1,0
219,"08/22/03 14:05:23","08/22/03 14:05:42","KORG",14,"OTHER","OTHER",,1,1,0
670,"05/31/04 11:39:52","05/31/04 11:40:09","KREF",3,"OTHER","Others",,1,1,0
680,"06/08/05 08:22:27","06/08/05 08:23:41","KLOC",14,"SPEC","SPECIAL CLINIC DHO",,1,1,0
683,"06/08/05 09:23:17","06/08/05 14:00:29","KORG",13,"SPEC","SPECIAL CLINIC DHO",,1,1,0
684,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",10,"FDC1","FDC1 (D4T30-3TC-NVP)","FDC1:A3:D4T30-3TC-NVP",0,0,0
685,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",20,"FDC2","FDC2 (D4T40-3TC-NVP)","FDC2:A3:D4T40-3TC-NVP",0,0,0
686,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",30,"FDC3","FDC3 (AZT-3TC-NVP)","FDC3:A3:AZT-3TC-NVP",0,0,0
687,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",40,"FDC4","FDC4 (AZT-3TC-ABC)","FDC4:A3:AZT-3TC-ABC",0,0,0
688,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",50,"FDC5","FDC5 (D4T30-3TC)","FDC5:A2:D4T30-3TC",0,0,0
689,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",60,"FDC6","FDC6 (D4T40-3TC)","FDC6:A2:D4T40-3TC",0,0,0
690,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",70,"FDC7","FDC7 (AZT-3TC)","FDC7:A2:AZT-3TC",0,0,0
691,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",80,"FDC8","FDC8 (Tenofovir-FTC)","FDC8:A2:TDF-FTC",0,0,0
692,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",110,"D4T30","Stavudine 30","D4T30:A1:D4T30",0,0,0
693,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",120,"D4T40","Stavudine 40","D4T40:A1:D4T40",0,0,0
694,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",150,"DDI250","Didanosine 250","DDI250:A1:DDI250",0,0,0
695,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",180,"EFV800","Efavirenz 800","EFV800:A1:EFV800",0,0,0
696,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",200,"FTC","Emtricitabine","FTC:A1:FTC",0,0,0
697,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",210,"TDF","Tenofovir","TDF:A1:TDF",0,0,0
698,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",250,"ATZ","Atazanavir","ATZ:A1:ATZ",0,0,0
699,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",290,"FDC1p","FDC1 pediatric (D4T30-3TC-NVPp)","FDC1p:A3:D4T30-3TC-NVPp",0,0,0
700,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",300,"FDC2p","FDC2 pediatric (AZT-3TC-NVPp)","FDC2p:A3:AZT-3TC-NVPp",0,0,0
701,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",310,"FDC3p","FDC3 pediatric (D4T30-3TCp)","FDC3p:A2:D4T30-3TCp",0,0,0
702,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",320,"3TCp","Lamivudine pediatric","3TCp:A1:3TCp",0,0,0
703,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",330,"AZTp","Zidovudine pediatric","AZTp:A1:AZTp",0,0,0
704,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",340,"D4Tp","Stavudine pediatric","D4Tp:A1:D4Tp",0,0,0
705,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",350,"DDIp","Didanosine pediatric","DDIp:A1:DDIp",0,0,0
706,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",360,"NVPp","Nevirapine pediatric","NVPp:A1:NVPp",0,0,0
707,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",370,"EFVp","Efavirenz pediatric","EFVp:A1:EFVp",0,0,0
708,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",380,"NFVp","Nelfinavir pediatric","NFVp:A1:NFVp",0,0,0
709,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",390,"LPV/rp","Kaletra (Lopinavir/Ritonavir) pediatric","LPV/rp:A1:LPV/rp",0,0,0
710,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",420,"3TCMTC","Lamivudine (Mother to child)","3TCMTC:M1:3TCMTC",0,0,0
711,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",430,"NADMTC","NVP Single Dose + (AZT-3TC) regimen (Mother to child)","NADMTC:M3:NVPsd-AZT-3TC",0,0,0
712,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",530,"ITR","Itraconazole prophylaxis","ITR:P1:ITR",0,0,0
713,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",540,"DAP","Dapsone prophylaxis","DAP:P1:DAP",0,0,0
714,"06/17/05 08:45:36","06/17/05 08:45:36","KDRG",550,"MYC","Treatment of atypical mycobacteriosis","MYC:P1:MYC",0,0,0
715,"06/17/05 08:45:36","06/17/05 08:45:36","KREG",1,"2HRZE4HR","2HRZE4HR","2HRZE4HR",0,0,0
716,"06/17/05 08:45:36","06/17/05 08:45:36","KREG",2,"2HRZE6HE","2HRZE6HE","2HRZE6HE",0,0,0
717,"06/17/05 08:45:36","06/17/05 08:45:36","KREG",3,"CAT2","CAT2","CAT2",0,0,0
718,"06/17/05 08:45:36","06/17/05 08:45:36","KREG",4,"2SHRZ/2RH(Z)/3EH","2SHRZ/2RH(Z)/3EH (MANYATTA)","2SHRZ/2RH(Z)/3EH",0,0,0
719,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",0,"ANEMIA Gr1/2","Anemia 1-2 (Hb 7-9.4)","ANEMIA Gr1/2",0,0,0
720,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",1,"ANEMIA Gr3","Anemia 3 (Hb 6.5-6.9)","ANEMIA Gr3",0,0,0
721,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",2,"ANEMIA Gr4","Anemia 4 (Hb <6.5)","ANEMIA Gr4",0,0,0
722,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",3,"NEUTROPENIA Gr1/2","Neutropenia 1-2 (750-1500)","NEUTROPENIA Gr1/2",0,0,0
723,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",4,"NEUTROPENIA Gr3","Neutropenia 3 (500-749)","NEUTROPENIA Gr3",0,0,0
724,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",5,"NEUTROPENIA Gr4","Neutropenia 4 (<500)","NEUTROPENIA Gr4",0,0,0
725,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",6,"HEPATOTOXICITY Gr1/2","Hepatotoxicity 1-2 (ALAT >1.25-5 x ULN)","HEPATOTOXICITY Gr1/2",0,0,0
726,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",7,"HEPATOTOXICITY Gr3","Hepatotoxicity 3 (ALAT >5 - 10 x ULN)","HEPATOTOXICITY Gr3",0,0,0
727,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",8,"HEPATOTOXICITY Gr4","Hepatotoxicity 4 (ALAT > 10 x ULN)","HEPATOTOXICITY Gr4",0,0,0
728,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",9,"JAUNDICE","Jaundice","JAUNDICE",0,0,0
729,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",10,"NEUROPATHY Gr1/2","Neuropathy 1-2","NEUROPATHY Gr1/2",0,0,0
730,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",11,"NEUROPATHY Gr3","Neuropathy 3","NEUROPATHY Gr3",0,0,0
731,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",12,"NEUROPATHY Gr4","Neuropathy 4","NEUROPATHY Gr4",0,0,0
732,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",13,"MYOPATHY Gr1/2","Myopathy 1-2","MYOPATHY Gr1/2",0,0,0
733,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",14,"MYOPATHY Gr3","Myopathy 3","MYOPATHY Gr3",0,0,0
734,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",15,"MYOPATHY Gr4","Myopathy 4","MYOPATHY Gr4",0,0,0
735,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",16,"MILD LIPODYSTROPHY","Mild Lipodystrophy","MILD LIPODYSTROPHY",0,0,0
736,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",17,"SEVERE LIPODYSTROPHY","Severe Lipodystrophy","SEVERE LIPODYSTROPHY",0,0,0
737,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",18,"LACTIC ACIDOSIS SUSPICION","Lactic acidosis","LACTIC ACIDOSIS SUSPICION",0,0,0
738,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",19,"NEURO-PSY Gr1/2","Neuro-Psy 1-2","NEURO-PSY Gr1/2",0,0,0
739,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",20,"NEURO-PSY Gr3","Neuro-Psy 3","NEURO-PSY Gr3",0,0,0
740,"06/17/05 08:45:36","06/17/05 08:45:36","KINT",21,"NEURO-PSY Gr4","Neuro-Psy 4","NEURO-PSY Gr4",0,0,0
